Name,Year,Value,Area,Area_Percentage
Rotbach,2019,9008,19.9253852,2.25%
Rotbach,2019,9012,7.9221718,0.89%
Rotbach,2019,9018,43.2516412,4.88%
Rotbach,2019,9020,56.1350488,6.33%
Rotbach,2019,9023,507.4605341,57.22%
Rotbach,2019,9024,83.0215932,9.36%
Rotbach,2019,9025,104.4774691,11.78%
Rotbach,2019,9029,8.5122835,0.96%
Rotbach,2020,171,14.613941,1.65%
Rotbach,2020,411,14.0838217,1.59%
Rotbach,2020,459,29.2377686,3.30%
Rotbach,2020,602,3.4109353,0.38%
Rotbach,2020,9002,1.1602849,0.13%
Rotbach,2020,9008,19.9253852,2.25%
Rotbach,2020,9012,7.9221718,0.89%
Rotbach,2020,9018,43.7717812,4.94%
Rotbach,2020,9020,49.6332736,5.60%
Rotbach,2020,9023,507.4605341,57.22%
Rotbach,2020,9024,82.5714777,9.31%
Rotbach,2020,9025,104.5474874,11.79%
Rotbach,2020,9029,8.5122835,0.96%
Rotbach,2021,131,0.6301733,0.07%
Rotbach,2021,171,14.613941,1.65%
Rotbach,2021,411,14.61398,1.65%
Rotbach,2021,459,30.2180294,3.41%
Rotbach,2021,602,1.9005191,0.21%
Rotbach,2021,9002,1.1602849,0.13%
Rotbach,2021,9008,19.9253852,2.25%
Rotbach,2021,9012,7.9221718,0.89%
Rotbach,2021,9018,42.7915204,4.83%
Rotbach,2021,9020,49.9833582,5.64%
Rotbach,2021,9023,507.4605341,57.22%
Rotbach,2021,9024,82.5714777,9.31%
Rotbach,2021,9025,104.5474874,11.79%
Rotbach,2021,9029,8.5122835,0.96%
Rotbach,2022,121,9.1024582,1.03%
Rotbach,2022,171,7.0518992,0.80%
Rotbach,2022,411,27.2874365,3.08%
Rotbach,2022,459,31.1382552,3.51%
Rotbach,2022,602,2.7807641,0.31%
Rotbach,2022,9002,1.1602849,0.13%
Rotbach,2022,9008,19.9253852,2.25%
Rotbach,2022,9018,42.7415069,4.82%
Rotbach,2022,9020,42.6013811,4.80%
Rotbach,2022,9023,507.4305261,57.22%
Rotbach,2022,9024,82.5714777,9.31%
Rotbach,2022,9025,104.5474874,11.79%
Rotbach,2022,9029,8.5122835,0.96%
