,Name,Year,Value,Area,Area_Percentage
0,BIE1,2005,115.0,4.529999999999999,0.1272146726539003
1,BIE1,2005,131.0,3.17,0.08902218814853509
2,BIE1,2005,132.0,12.629999999999999,0.35468461713438426
3,BIE1,2005,140.0,2.8899999999999997,0.08115902957390107
4,BIE1,2005,155.0,15.319999999999999,0.4302271048692611
5,BIE1,2005,411.0,10.58,0.29711506328438525
6,BIE1,2005,422.0,14.559999999999999,0.4088842458809687
7,BIE1,2005,459.0,348.8899999999999,9.79777641108593
8,BIE1,2005,9002.0,116.73000000000002,3.278094644346531
9,BIE1,2005,9012.0,1.66,0.04661729726390165
10,BIE1,2005,9018.0,322.3000000000002,9.051057173587658
11,BIE1,2005,9020.0,23.340000000000003,0.6554504326141355
12,BIE1,2005,9023.0,967.3699999999999,27.166370394084666
13,BIE1,2005,9024.0,1461.7199999999991,41.04905768469295
14,BIE1,2005,9025.0,255.21999999999986,7.167269040778901
15,BIE1,2006,115.0,5.880000000000001,0.16512633006731436
16,BIE1,2006,131.0,5.9,0.16568798425121678
17,BIE1,2006,132.0,12.979999999999999,0.3645135653526768
18,BIE1,2006,140.0,0.94,0.026397746643414193
19,BIE1,2006,155.0,13.920000000000002,0.3909113119960911
20,BIE1,2006,411.0,4.32,0.12131730372292482
21,BIE1,2006,422.0,15.7,0.44089853436340726
22,BIE1,2006,459.0,348.49999999999994,9.786824154499836
23,BIE1,2006,9002.0,116.73000000000002,3.278094644346531
24,BIE1,2006,9012.0,1.66,0.046617297263901666
25,BIE1,2006,9018.0,321.1300000000001,9.018200403829365
26,BIE1,2006,9020.0,30.629999999999995,0.8601733826465708
27,BIE1,2006,9023.0,966.4399999999998,27.1402534745332
28,BIE1,2006,9024.0,1460.9599999999991,41.027714825704656
29,BIE1,2006,9025.0,255.21999999999986,7.167269040778901
30,BIE1,2007,115.0,4.180000000000001,0.11738572443560782
31,BIE1,2007,131.0,4.93,0.1384477563319489
32,BIE1,2007,132.0,16.389999999999997,0.46027560370804105
33,BIE1,2007,140.0,2.02,0.056727072574145394
34,BIE1,2007,155.0,10.78,0.3027316051234096
35,BIE1,2007,411.0,7.44,0.20893535641170385
36,BIE1,2007,422.0,3.3600000000000003,0.09435790289560819
37,BIE1,2007,459.0,348.7099999999998,9.792721523430806
38,BIE1,2007,9002.0,116.73000000000002,3.278094644346531
39,BIE1,2007,9012.0,1.66,0.046617297263901666
40,BIE1,2007,9018.0,320.72000000000014,9.006686493059366
41,BIE1,2007,9020.0,41.37,1.1617816794021758
42,BIE1,2007,9023.0,966.4399999999998,27.1402534745332
43,BIE1,2007,9024.0,1460.9599999999991,41.027714825704656
44,BIE1,2007,9025.0,255.21999999999986,7.167269040778901
45,BIE1,2008,115.0,4.290000000000001,0.12047482244707118
46,BIE1,2008,131.0,6.120000000000001,0.17186618027414347
47,BIE1,2008,132.0,11.109999999999996,0.31199889915779955
48,BIE1,2008,140.0,2.1500000000000004,0.060377824769511194
49,BIE1,2008,155.0,12.56,0.3527188274907258
50,BIE1,2008,411.0,16.43,0.46139891207584594
51,BIE1,2008,422.0,8.78,0.24656618673316658
52,BIE1,2008,459.0,335.3099999999999,9.41641322021618
53,BIE1,2008,9002.0,116.80000000000001,3.2800604339901893
54,BIE1,2008,9012.0,1.66,0.04661729726390165
55,BIE1,2008,9018.0,331.61000000000007,9.312507196194236
56,BIE1,2008,9020.0,22.24,0.6245594524995016
57,BIE1,2008,9023.0,967.6199999999998,27.173391071383442
58,BIE1,2008,9024.0,1461.749999999999,41.0499001659688
59,BIE1,2008,9025.0,262.4799999999999,7.371149509535484
60,BIE1,2009,115.0,3.17,0.08902218814853509
61,BIE1,2009,131.0,3.02,0.08480978176926687
62,BIE1,2009,132.0,7.470000000000001,0.20977783768755748
