,Name,Year,Value,Area,Area_Percentage
107,BOY_oh_B224,2018,131,116.19,2.190776077
108,BOY_oh_B224,2018,171,89.4,1.685647485
109,BOY_oh_B224,2018,411,342.74,6.462402896
110,BOY_oh_B224,2018,459,380.19,7.168527038
111,BOY_oh_B224,2018,602,26.76,0.504562938
112,BOY_oh_B224,2018,9001,47.18,0.889584433
113,BOY_oh_B224,2018,9002,1817.17,34.26295347
114,BOY_oh_B224,2018,9003,286.87,5.408967494
115,BOY_oh_B224,2018,9007,6.19,0.116713176
116,BOY_oh_B224,2018,9008,49.43,0.932008447
117,BOY_oh_B224,2018,9010,60.65,1.143562863
118,BOY_oh_B224,2018,9011,67.08,1.264801267
119,BOY_oh_B224,2018,9012,333.45,6.287238857
120,BOY_oh_B224,2018,9018,214.47,4.043857003
121,BOY_oh_B224,2018,9020,295.51,5.571875707
122,BOY_oh_B224,2018,9021,4.42,0.083339618
123,BOY_oh_B224,2018,9023,991.22,18.68956935
124,BOY_oh_B224,2018,9024,0.08,0.001508409
125,BOY_oh_B224,2018,9025,100.89,1.902292782
126,BOY_oh_B224,2018,9029,4.15,0.078248737
127,BOY_oh_B224,2019,115,55.81,1.052304095
128,BOY_oh_B224,2019,121,24.35,0.459122106
129,BOY_oh_B224,2019,131,113.75,2.14476959
130,BOY_oh_B224,2019,171,67.52,1.273097519
131,BOY_oh_B224,2019,411,363.4,6.851949619
132,BOY_oh_B224,2019,459,392.96,7.409306886
133,BOY_oh_B224,2019,602,35.82,0.675390301
134,BOY_oh_B224,2019,9001,47.18,0.889584433
135,BOY_oh_B224,2019,9002,1810.45,34.13624708
136,BOY_oh_B224,2019,9003,286.87,5.408967494
137,BOY_oh_B224,2019,9007,6.19,0.116713176
138,BOY_oh_B224,2019,9008,49.43,0.932008447
139,BOY_oh_B224,2019,9010,61.42,1.158081303
140,BOY_oh_B224,2019,9011,67.08,1.264801267
141,BOY_oh_B224,2019,9012,332.28,6.265178369
142,BOY_oh_B224,2019,9018,212.66,4.009729241
143,BOY_oh_B224,2019,9020,276.29,5.209480353
144,BOY_oh_B224,2019,9021,4.45,0.083905272
145,BOY_oh_B224,2019,9023,990.57,18.67731352
146,BOY_oh_B224,2019,9024,0.08,0.001508409
147,BOY_oh_B224,2019,9025,100.89,1.902292782
148,BOY_oh_B224,2019,9029,4.15,0.078248737
149,BOY_oh_B224,2020,115,39.92,0.752696282
150,BOY_oh_B224,2020,121,32.1,0.605249265
151,BOY_oh_B224,2020,131,139.21,2.624820876
152,BOY_oh_B224,2020,171,55.95,1.054943812
153,BOY_oh_B224,2020,411,354.8,6.689795611
154,BOY_oh_B224,2020,459,399.87,7.539595746
155,BOY_oh_B224,2020,602,30.79,0.580549061
156,BOY_oh_B224,2020,9001,47.18,0.889584433
157,BOY_oh_B224,2020,9002,1810.37,34.13473867
158,BOY_oh_B224,2020,9003,286.87,5.408967494
159,BOY_oh_B224,2020,9007,6.19,0.116713176
160,BOY_oh_B224,2020,9008,48.82,0.920506826
161,BOY_oh_B224,2020,9010,61.42,1.158081303
162,BOY_oh_B224,2020,9011,67.08,1.264801267
163,BOY_oh_B224,2020,9012,333.47,6.287615959
164,BOY_oh_B224,2020,9018,206.8,3.899238253
165,BOY_oh_B224,2020,9020,279.73,5.274341956
166,BOY_oh_B224,2020,9021,4.49,0.084659477
167,BOY_oh_B224,2020,9023,992.83,18.71992609
168,BOY_oh_B224,2020,9024,0.08,0.001508409
169,BOY_oh_B224,2020,9025,101.48,1.913417301
170,BOY_oh_B224,2020,9029,4.15,0.078248737
171,BOY_oh_B224,2021,115,50.68,0.955577344
172,BOY_oh_B224,2021,121,62.51,1.178633381
173,BOY_oh_B224,2021,131,114.28,2.154762803
174,BOY_oh_B224,2021,171,46.1,0.869220907
175,BOY_oh_B224,2021,411,298.44,5.627121201
176,BOY_oh_B224,2021,459,410.51,7.740214194
177,BOY_oh_B224,2021,602,37.15,0.700467607
178,BOY_oh_B224,2021,9001,47.18,0.889584433
179,BOY_oh_B224,2021,9002,1809.42,34.11682631
180,BOY_oh_B224,2021,9003,286.87,5.408967494
181,BOY_oh_B224,2021,9007,6.19,0.116713176
182,BOY_oh_B224,2021,9008,48.82,0.920506826
183,BOY_oh_B224,2021,9010,60.84,1.147145335
184,BOY_oh_B224,2021,9011,67.08,1.264801267
185,BOY_oh_B224,2021,9012,332.12,6.262161551
186,BOY_oh_B224,2021,9018,209.2,3.944490535
187,BOY_oh_B224,2021,9020,314.45,5.928991628
188,BOY_oh_B224,2021,9021,4.49,0.084659477
