stream,catchment,type,replicate,date_deployment,time_deployment,date_sampled,time_sampled,bag_ID,no_disks_DNA,no_disks_FA,no_disks_SIA,no_disks_OMD,no_disks_all,rest_60_g,rest_500_g,OMD_60_mg,OMD_500_mg,comments
BRAob,Boye,fine,rep 1,04/03/2025,13:30,19/03/2025,13:00,656,1,3,4,5,13,2.328,0.171,17.39,1.04,
BRAob,Boye,fine,rep 2,04/03/2025,13:30,19/03/2025,13:00,522,1,3,4,5,13,2.448,0.201,18.25,0.85,
BRAob,Boye,fine,rep 3,04/03/2025,13:30,19/03/2025,13:00,604,1,3,4,5,13,2.180,0.168,14.92,0.96,
BRAob,Boye,coarse,rep 1,04/03/2025,13:30,19/03/2025,13:00,L178,1,3,4,5,13,1.801,0.114,19.11,0.93,
BRAob,Boye,coarse,rep 2,04/03/2025,13:30,19/03/2025,13:00,L200,1,3,4,5,13,2.016,0.116,14.42,0.70,
BRAob,Boye,coarse,rep 3,04/03/2025,13:30,19/03/2025,13:00,L208,1,3,4,5,13,1.452,0.106,16.85,0.95,
BRAohBo,Boye,fine,rep 1,04/03/2025,13:50,19/03/2025,13:55,030,1,3,4,5,13,2.574,0.176,20.03,1.37,
BRAohBo,Boye,fine,rep 2,04/03/2025,13:50,19/03/2025,13:55,556,1,3,4,5,13,2.389,0.163,17.53,1.33,
BRAohBo,Boye,fine,rep 3,04/03/2025,13:50,19/03/2025,13:55,740,1,3,4,5,13,2.385,0.151,15.81,0.76,
BRAohBo,Boye,coarse,rep 1,04/03/2025,13:50,19/03/2025,13:55,L213,1,3,4,5,13,2.586,0.171,18.32,1.21,
BRAohBo,Boye,coarse,rep 2,04/03/2025,13:50,19/03/2025,13:55,L081,1,3,4,5,13,2.762,0.208,17.22,1.18,
BRAohBo,Boye,coarse,rep 3,04/03/2025,13:50,19/03/2025,13:55,L064,1,3,4,5,13,2.720,0.183,21.80,1.03,
HAAob,Boye,fine,rep 1,04/03/2025,16:00,20/03/2025,10:35,582,1,3,4,5,13,2.214,0.158,19.23,1.29,
HAAob,Boye,fine,rep 2,04/03/2025,16:00,20/03/2025,10:35,115,1,3,4,5,13,2.394,0.255,14.52,1.28,
HAAob,Boye,fine,rep 3,04/03/2025,16:00,20/03/2025,10:35,723,1,3,4,5,13,2.271,0.159,19.24,1.18,
HAAob,Boye,coarse,rep 1,04/03/2025,16:00,20/03/2025,10:35,L073,0,0,0,0,0,0.044,0.004,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
HAAob,Boye,coarse,rep 2,04/03/2025,16:00,20/03/2025,10:35,L317,0,0,0,0,0,0.049,0.005,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
