"stream","catchment","type","replicate","date_deployment","time_deployment","date_sampled","time_sampled","bag_ID","no_disks_DNA","no_disks_FA","no_disks_SIA","no_disks_OMD","no_disks_all","rest_60_g","rest_500_g","OMD_60_mg","OMD_500_mg","comments","deployment_duration_days","LandUse","initial_mass_g","perc_60","perc_500","AFDM_start","rest_AFDM","afdm_all_disks","AFDM_end","water_temp","deg_days","k","total_abundance","oxygen_dissolved","conductivity"
"BRA2","Kinzig","coarse","rep 2",2025-03-11,"12:39",2025-03-28,"10:06","L048",1,0,0,0,1,1.22,0.154,0,0,"Only DNA sample disc could be prepared due to limited leaf material.",17,"rural",3.504,0.91228325487691,0.0476630928962099,3.0296,1.066,0.0024,1.0684,7.3,124.1,0.0084,14,12,197
"FAL1","Kinzig","fine","rep 1",2025-03-10,"14:40",2025-03-28,"16:30","223",1,3,4,5,13,2.558,0.541,22.57,3.58,"",18,"rural",3.521,0.854017522637833,0.0453407045534041,2.8474,2.017,0.0311,2.0481,12.1,217.8,0.00151,18,10.2,141
"FAL1","Kinzig","fine","rep 2",2025-03-10,"14:42",2025-03-28,"16:32","768",1,3,4,5,13,2.321,0.36,16.49,1.81,"",18,"rural",3.537,0.854017522637833,0.0453407045534041,2.8603,1.961,0.0311,1.9921,12.1,217.8,0.00166,10,10.2,141
"FAL1","Kinzig","fine","rep 3",2025-03-10,"14:44",2025-03-28,"16:33","135",1,3,3,5,12,2.367,0.435,16.26,1.7,"",18,"rural",3.541,0.854017522637833,0.0453407045534041,2.8635,1.932,0.0287,1.9607,12.1,217.8,0.00174,9,10.2,141
"FAL1","Kinzig","coarse","rep 2",2025-03-10,"14:48",2025-03-28,"16:35","L142",0,0,0,0,0,0.052,0.004,0,0,"Significant leaf consumption by macroinvertebrates observed",18,"rural",3.52,0.91228325487691,0.0476630928962099,3.0435,0.048,0,0.048,12.1,217.8,0.01905,10,10.2,141
"GRU1","Kinzig","fine","rep 1",2025-03-11,"11:50",2025-03-24,"16:00","731",1,3,4,5,13,2.999,0.545,20.49,3.25,"",13,"rural",3.488,0.854017522637833,0.0453407045534041,2.8207,2.454,0.0311,2.4851,11.2,145.6,0.00087,8,11.4,121
"GRU1","Kinzig","fine","rep 2",2025-03-11,"11:52",2025-03-24,"16:02","205",1,3,4,5,13,2.821,0.366,17.81,2.35,"",13,"rural",3.516,0.854017522637833,0.0453407045534041,2.8433,2.455,0.0311,2.4861,11.2,145.6,0.00092,11,11.4,121
"GRU1","Kinzig","fine","rep 3",2025-03-11,"11:54",2025-03-24,"16:03","157",1,3,4,5,13,2.763,0.398,21.62,2.9,"",13,"rural",3.527,0.854017522637833,0.0453407045534041,2.8522,2.365,0.0311,2.3961,11.2,145.6,0.0012,15,11.4,121
"GRU1","Kinzig","coarse","rep 1",2025-03-11,"11:56",2025-03-24,"16:04","L187",1,0,0,3,4,1.739,0.133,12.48,0.85,"",13,"rural",3.537,0.91228325487691,0.0476630928962099,3.0582,1.606,0.0096,1.6156,11.2,145.6,0.00438,8,11.4,121
"GRU1","Kinzig","coarse","rep 3",2025-03-11,"12:00",2025-03-24,"16:08","L152",1,3,4,5,13,1.832,0.183,17.19,1.7,"",13,"rural",3.5,0.91228325487691,0.0476630928962099,3.0262,1.649,0.0311,1.6801,11.2,145.6,0.00404,15,11.4,121
"GRU2","Kinzig","fine","rep 1",2025-03-11,"11:00",2025-03-25,"16:00","146",1,3,4,5,13,2.985,0.642,18.98,2.37,"",14,"urban",3.5,0.854017522637833,0.0453407045534041,2.8304,2.343,0.0311,2.3741,12,168,0.00105,23,11.5,144
"GRU2","Kinzig","fine","rep 2",2025-03-11,"11:02",2025-03-25,"16:03","692",1,3,4,5,13,2.849,0.507,13.32,1.49,"",14,"urban",3.51,0.854017522637833,0.0453407045534041,2.8385,2.342,0.0311,2.3731,12,168,0.00107,80,11.5,144
"GRU2","Kinzig","fine","rep 3",2025-03-11,"11:04",2025-03-25,"16:07","151",1,3,4,5,13,2.847,0.566,17.79,3.36,"",14,"urban",3.526,0.854017522637833,0.0453407045534041,2.8514,2.281,0.0311,2.3121,12,168,0.00125,67,11.5,144
"GRU2","Kinzig","coarse","rep 1",2025-03-11,"11:06",2025-03-25,"16:10","L220",1,3,4,5,13,1.312,0.104,20.2,1.64,"",14,"urban",3.491,0.91228325487691,0.0476630928962099,3.0184,1.208,0.0311,1.2391,12,168,0.0053,23,11.5,144
"GRU2","Kinzig","coarse","rep 2",2025-03-11,"11:08",2025-03-25,"16:12","L153",1,0,0,2,3,1.422,0.167,7.2,0.7,"",14,"urban",3.544,0.91228325487691,0.0476630928962099,3.0642,1.255,0.0072,1.2622,12,168,0.00528,80,11.5,144
"GRU2","Kinzig","coarse","rep 3",2025-03-11,"11:10",2025-03-25,"16:15","C116",1,3,2,5,11,2.5,0.663,19.27,3.15,"",14,"urban",3.524,0.91228325487691,0.0476630928962099,3.0469,1.837,0.0263,1.8633,12,168,0.00293,67,11.5,144
"KIN1","Kinzig","fine","rep 1",2025-03-10,"12:20",2025-03-25,"15:15","256",1,3,4,5,13,2.398,0.24,19.02,1.39,"",15,"rural",3.497,0.854017522637833,0.0453407045534041,2.8279,2.158,0.0311,2.1891,11.4,171,0.0015,6,12.9,359
"KIN1","Kinzig","fine","rep 2",2025-03-10,"12:22",2025-03-25,"15:17","615",1,3,4,5,13,2.6,0.451,20.8,3.77,"",15,"rural",3.506,0.854017522637833,0.0453407045534041,2.8352,2.149,0.0311,2.1801,11.4,171,0.00154,17,12.9,359
"KIN1","Kinzig","fine","rep 3",2025-03-10,"12:24",2025-03-25,"15:18","514",1,3,4,5,13,2.772,0.559,18.96,3.39,"",15,"rural",3.535,0.854017522637833,0.0453407045534041,2.8587,2.213,0.0311,2.2441,11.4,171,0.00142,10,12.9,359
"KIN1","Kinzig","coarse","rep 1",2025-03-10,"12:26",2025-03-25,"15:20","L108",1,0,0,4,5,1.737,0.131,15.57,1.11,"",15,"rural",3.488,0.91228325487691,0.0476630928962099,3.0158,1.606,0.012,1.618,11.4,171,0.00364,6,12.9,359
"KIN1","Kinzig","coarse","rep 2",2025-03-10,"12:28",2025-03-25,"15:22","L079",1,3,4,5,13,2.054,0.225,17.73,1.93,"",15,"rural",3.538,0.91228325487691,0.0476630928962099,3.059,1.829,0.0311,1.8601,11.4,171,0.00291,17,12.9,359
"KIN1","Kinzig","coarse","rep 3",2025-03-10,"12:30",2025-03-25,"15:25","L029",1,3,4,5,13,2.023,0.202,14.77,1.36,"",15,"rural",3.505,0.91228325487691,0.0476630928962099,3.0305,1.821,0.0311,1.8521,11.4,171,0.00288,10,12.9,359
"KIN2","Kinzig","fine","rep 1",2025-03-10,"11:20",2025-03-25,"13:30","090",1,3,4,5,13,2.422,0.31,22.08,2.21,"",15,"urban",3.529,0.854017522637833,0.0453407045534041,2.8538,2.112,0.0311,2.1431,10.7,160.5,0.00178,15,13.4,436
"KIN2","Kinzig","fine","rep 2",2025-03-10,"11:22",2025-03-25,"13:33","621",1,3,4,5,13,2.648,0.411,16.15,1.82,"",15,"urban",3.537,0.854017522637833,0.0453407045534041,2.8603,2.237,0.0311,2.2681,10.7,160.5,0.00145,39,13.4,436
"KIN2","Kinzig","fine","rep 3",2025-03-10,"11:24",2025-03-25,"13:34","605",1,3,4,5,13,2.713,0.406,16.02,2.91,"",15,"urban",3.515,0.854017522637833,0.0453407045534041,2.8425,2.307,0.0311,2.3381,10.7,160.5,0.00122,64,13.4,436
"KIN2","Kinzig","coarse","rep 1",2025-03-10,"11:26",2025-03-25,"13:35","L149",1,3,4,5,13,1.752,0.312,14.42,1.68,"",15,"urban",3.524,0.91228325487691,0.0476630928962099,3.0469,1.44,0.0311,1.4711,10.7,160.5,0.00454,15,13.4,436
"KIN2","Kinzig","coarse","rep 2",2025-03-10,"11:28",2025-03-25,"13:37","L043",1,3,4,5,13,1.737,0.243,17.27,2.04,"",15,"urban",3.502,0.91228325487691,0.0476630928962099,3.0279,1.494,0.0311,1.5251,10.7,160.5,0.00427,39,13.4,436
