"stream","catchment","type","replicate","date_deployment","time_deployment","date_sampled","time_sampled","bag_ID","no_disks_DNA","no_disks_FA","no_disks_SIA","no_disks_OMD","no_disks_all","rest_60_g","rest_500_g","OMD_60_mg","OMD_500_mg","comments","deployment_duration_days","LandUse","initial_mass_g","perc_60","perc_500","AFDM_start","rest_AFDM","afdm_all_disks","AFDM_end","water_temp","deg_days","k","total_abundance","oxygen_dissolved","conductivity"
"SAL1","Kinzig","coarse","rep 3",2025-03-11,"10:40",2025-03-27,"11:55","L140",1,0,0,5,6,1.452,0.102,18.35,1.5,"",16,"rural",3.472,0.91228325487691,0.0476630928962099,3.002,1.35,0.0143,1.3643,8.1,129.6,0.00608,10,14,171
"SAL2","Kinzig","fine","rep 1",2025-03-11,"11:30",2025-03-27,"09:45","748",1,3,4,5,13,2.155,0.163,17.97,1.29,"",16,"urban",3.495,0.854017522637833,0.0453407045534041,2.8263,1.992,0.0311,2.0231,6.1,97.6,0.00343,1,14.1,209
"SAL2","Kinzig","fine","rep 2",2025-03-11,"11:32",2025-03-27,"09:47","640",1,3,4,5,13,2.373,0.187,15.61,1.22,"",16,"urban",3.49,0.854017522637833,0.0453407045534041,2.8223,2.186,0.0311,2.2171,6.1,97.6,0.00247,6,14.1,209
"SAL2","Kinzig","fine","rep 3",2025-03-11,"11:34",2025-03-27,"09:49","049",1,3,4,5,13,2.237,0.226,18.15,1.15,"",16,"urban",3.487,0.854017522637833,0.0453407045534041,2.8199,2.011,0.0311,2.0421,6.1,97.6,0.00331,12,14.1,209
"SAL2","Kinzig","coarse","rep 1",2025-03-11,"11:36",2025-03-27,"09:51","L221",1,0,0,0,1,0.617,0.036,0,0,"no measurable material for analysis.",16,"urban",3.525,0.91228325487691,0.0476630928962099,3.0478,0.581,0.0024,0.5834,6.1,97.6,0.01694,1,14.1,209
"SAL2","Kinzig","coarse","rep 2",2025-03-11,"11:38",2025-03-27,"09:53","L223",1,3,3,5,12,2.329,0.32,17.72,2.14,"",16,"urban",3.538,0.91228325487691,0.0476630928962099,3.059,2.009,0.0287,2.0377,6.1,97.6,0.00416,6,14.1,209
"SAL2","Kinzig","coarse","rep 3",2025-03-11,"11:40",2025-03-27,"09:55","L028",1,0,0,5,6,1.909,0.157,14.41,1.05,"",16,"urban",3.477,0.91228325487691,0.0476630928962099,3.0063,1.752,0.0143,1.7663,6.1,97.6,0.00545,12,14.1,209
"STE1","Kinzig","fine","rep 1",2025-03-10,"15:00",2025-03-27,"15:00","520",1,0,0,1,2,2.014,0.23,4.25,0.12,"",17,"rural",3.487,0.854017522637833,0.0453407045534041,2.8199,1.784,0.0048,1.7888,9.7,164.9,0.00276,3,12.2,313
"STE1","Kinzig","fine","rep 2",2025-03-10,"15:02",2025-03-27,"15:03","042",1,3,4,5,13,2.167,0.231,15.82,1.27,"",17,"rural",3.501,0.854017522637833,0.0453407045534041,2.8312,1.936,0.0311,1.9671,9.7,164.9,0.00221,9,12.2,313
"STE1","Kinzig","fine","rep 3",2025-03-10,"15:04",2025-03-27,"15:05","227",1,3,4,5,13,2.569,0.291,20.9,1.79,"",17,"rural",3.536,0.854017522637833,0.0453407045534041,2.8595,2.278,0.0311,2.3091,9.7,164.9,0.0013,14,12.2,313
"STE1","Kinzig","coarse","rep 1",2025-03-10,"15:06",2025-03-27,"15:06","C111",1,0,0,5,6,1.195,0.099,11.85,1.29,"",17,"rural",3.524,0.91228325487691,0.0476630928962099,3.0469,1.096,0.0143,1.1103,9.7,164.9,0.00612,3,12.2,313
"STE1","Kinzig","coarse","rep 2",2025-03-10,"15:08",2025-03-27,"15:10","L225",1,3,2,5,11,2.065,0.313,13.91,1.17,"",17,"rural",3.537,0.91228325487691,0.0476630928962099,3.0582,1.752,0.0263,1.7783,9.7,164.9,0.00329,9,12.2,313
"STE1","Kinzig","coarse","rep 3",2025-03-10,"15:10",2025-03-27,"15:15","L075",1,3,4,5,13,1.388,0.164,16.19,1.39,"",17,"rural",3.505,0.91228325487691,0.0476630928962099,3.0305,1.224,0.0311,1.2551,9.7,164.9,0.00535,14,12.2,313
"STE2","Kinzig","fine","rep 1",2025-03-10,"16:00",2025-03-25,"17:15","202",1,3,4,5,13,2.386,0.276,18.55,1.84,"",15,"urban",3.503,0.854017522637833,0.0453407045534041,2.8328,2.11,0.0311,2.1411,11.5,172.5,0.00162,6,12.2,320
"STE2","Kinzig","fine","rep 2",2025-03-10,"16:02",2025-03-25,"17:16","141",1,3,4,5,13,2.527,0.238,15.12,1.68,"",15,"urban",3.515,0.854017522637833,0.0453407045534041,2.8425,2.289,0.0311,2.3201,11.5,172.5,0.00118,27,12.2,320
"STE2","Kinzig","fine","rep 3",2025-03-10,"16:04",2025-03-25,"17:18","080",1,3,4,5,13,2.381,0.31,17.84,1.65,"",15,"urban",3.478,0.854017522637833,0.0453407045534041,2.8126,2.071,0.0311,2.1021,11.5,172.5,0.00169,40,12.2,320
"STE2","Kinzig","coarse","rep 1",2025-03-10,"16:06",2025-03-25,"17:20","L112",1,3,4,5,13,1.332,0.15,16.64,1.55,"",15,"urban",3.514,0.91228325487691,0.0476630928962099,3.0383,1.182,0.0311,1.2131,11.5,172.5,0.00532,6,12.2,320
"STE2","Kinzig","coarse","rep 2",2025-03-10,"16:08",2025-03-25,"17:22","L003",1,3,4,5,13,1.875,0.212,15.89,1.57,"",15,"urban",3.543,0.91228325487691,0.0476630928962099,3.0633,1.663,0.0311,1.6941,11.5,172.5,0.00343,27,12.2,320
"STE2","Kinzig","coarse","rep 3",2025-03-10,"16:10",2025-03-25,"17:25","L319",1,3,4,5,13,1.98,0.247,19.38,2.36,"",15,"urban",3.5,0.91228325487691,0.0476630928962099,3.0262,1.733,0.0311,1.7641,11.5,172.5,0.00313,40,12.2,320
