"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",0.00787325034443309,0.00109613561086634,7.18273383911905,15.5095462444263,0.00000260899680585468
"fixed","cpom_sc",-0.000926308275762399,0.00112852902275699,-0.820810326613869,15.2412150831297,0.424407120240575
