"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",0.000889312687442874,0.0000922916620160122,9.63589416440006,14.4547246129836,0.000000112098735252997
"fixed","no3_sc",0.000168532284444721,0.0000938478987785135,1.79580242752655,14.1065213053159,0.0939699903489939
"fixed","po4_sc",0.000148488953687478,0.0000930851692465063,1.59519453946796,14.5719431355903,0.132122867889703
