"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",0.00357904761904762,0.000446267732634188,8.01995608761931,4.99999992315846,0.000487181463790768
"fixed","sumTU_sc",0.000245884573994811,0.000457288348473895,0.537701375544337,4.99999992427304,0.613843278736204
