"stream","RestStatus","n","mean_k","var_k","rel_var"
"BOYkl","reference",3,0.00333666666666667,0.0000000329333333333333,0.0029580808801588
"BOYohB224","recently_restored",3,0.00204333333333333,0.0000000549333333333334,0.0131570193390088
"BOYohBr","long_restored",3,0.00356333333333333,0.000000150233333333333,0.0118318703560937
"BOYohKi","recently_restored",3,0.00452333333333333,0.000000708233333333333,0.0346145888373775
"BOYohSp","long_restored",3,0.00269666666666667,0.000000168233333333333,0.0231343614253126
"BOYuhHa","recently_restored",3,0.00539,0.0000001389,0.00478106574051445
"BOYuhSp","long_restored",3,0.0035,0.0000004237,0.0345877551020408
