"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",0.017668,0.00341154759454318,5.17888128785313,4.99999986721486,0.0035286090528893
"fixed","fine_classhigh_fine",0.00329699999999997,0.00638242112872667,0.516575126194742,4.99999986721276,0.627480118103622
