"effect","term","estimate","std.error","statistic","df","p.value","Catchment","Endpoint"
"fixed","(Intercept)",0.00886592933504271,0.00140705807105845,6.30104010445951,16.1804990787739,0.0000100173944227982,"Kinzig","Macroinvertebrate"
"fixed","LandUseurban",-0.00371853462075513,0.00201047834084576,-1.84957706094503,15.2352647856053,0.0838693015129201,"Kinzig","Macroinvertebrate"
"fixed","(Intercept)",0.000974028557949506,0.000141569734985311,6.88020330087198,15.6790570833571,0.00000412615438526986,"Kinzig","Microbial"
"fixed","LandUseurban",-0.000178843372764321,0.000203206187192487,-0.880107910272,15.0965504981147,0.392596090008177,"Kinzig","Microbial"
"fixed","(Intercept)",0.00977120552644875,0.00140689585746147,6.94522304165386,16.0769956994112,0.00000321300520623301,"Kinzig","Total"
"fixed","LandUseurban",-0.00383312492110498,0.00202055185959543,-1.89706831967801,15.3946978137926,0.0767399794836069,"Kinzig","Total"
