"var1","var2","r"
"tn_mg_l","conductivity_u_s_cm",-0.878
"zn_mg_l","no3_mg_l",0.875
"fe_mg_l","tn_mg_l",-0.874
"hco3_mg_l","cd_mg_l",-0.872
"cd_mg_l","conductivity_u_s_cm",-0.871
"area_urban","k_mg_l",0.87
"pct_indus","tn_mg_l",-0.869
"mg_mg_l","nh4_mg_l",0.864
"ca_mg_l","cd_mg_l",-0.864
"no2_mg_l","ortho_po4_mg_l",0.863
"total_po4_mg_l","water_level_cm",-0.862
"pct_agri","na_mg_l",-0.86
"pct_indus","total_po4_mg_l",-0.858
"pct_urban","cl_mg_l",0.857
"total_area_km2","total_po4_mg_l",-0.854
"fe_mg_l","cd_mg_l",-0.854
"na_mg_l","ni_mg_l",0.854
"area_urban","ni_mg_l",0.851
"area_rural","mg_mg_l",0.85
"pct_agri","area_urban",-0.85
"area_rural","total_po4_mg_l",-0.849
"pct_urban","pct_indus",0.848
"k_mg_l","p_h",0.847
"pct_indus","cd_mg_l",-0.847
"area_urban","area_agric",0.847
"so4_mg_l","total_po4_mg_l",-0.846
"area_rural","no3_mg_l",-0.843
"pct_urban","no3_mg_l",-0.841
"pct_agri","mg_mg_l",-0.838
"pct_indus","water_level_cm",0.836
"cu_mg_l","ortho_po4_mg_l",0.835
"pct_urban","nh4_mg_l",0.835
"total_area_km2","no3_mg_l",-0.834
"ni_mg_l","cl_mg_l",0.834
"area_indus","ni_mg_l",0.833
"pct_agri","water_level_cm",-0.832
"pct_agri","cl_mg_l",-0.831
"pct_rural","water_level_cm",0.828
"so4_mg_l","no3_mg_l",-0.826
"pct_urban","tn_mg_l",-0.822
"pct_indus","area_urban",0.822
"area_indus","k_mg_l",0.821
"mg_mg_l","ni_mg_l",0.816
"ni_mg_l","p_h",0.813
"area_agric","water_level_cm",0.813
"area_rural","tn_mg_l",-0.812
"area_agric","mg_mg_l",0.811
"k_mg_l","cu_mg_l",0.81
"pct_rural","co3_mg_l",0.805
"pct_urban","cd_mg_l",-0.804
"total_area_km2","tn_mg_l",-0.803
"no3_mg_l","nh4_mg_l",-0.801
"pct_rural","living_parts_pct",0.799
"so4_mg_l","tn_mg_l",-0.797
"psam_pct","no2_mg_l",0.794
"pct_indus","mg_mg_l",0.794
"k_mg_l","na_mg_l",0.792
"pct_agri","living_parts_pct",-0.791
"zn_mg_l","no2_mg_l",0.788
"total_area_km2","cd_mg_l",-0.786
"area_agric","zn_mg_l",-0.781
"cd_mg_l","so4_mg_l",-0.78
"nh4_mg_l","total_po4_mg_l",-0.779
"area_indus","total_po4_mg_l",-0.778
"area_rural","cd_mg_l",-0.775
"living_parts_pct","water_level_cm",0.771
"tn_mg_l","nh4_mg_l",-0.762
"k_mg_l","cl_mg_l",0.762
"k_mg_l","so4_mg_l",0.761
"area_rural","water_level_cm",0.76
"total_area_km2","ni_mg_l",0.758
"area_rural","co3_mg_l",0.756
"area_indus","no3_mg_l",-0.755
"ca_mg_l","water_level_cm",0.751
"hco3_mg_l","water_level_cm",0.749
"cd_mg_l","nh4_mg_l",-0.749
"fe_mg_l","water_level_cm",0.748
"zn_mg_l","conductivity_u_s_cm",-0.744
"pct_indus","co3_mg_l",0.744
"co3_mg_l","water_level_cm",0.743
"ni_mg_l","nh4_mg_l",0.743
"pct_urban","zn_mg_l",-0.739
"area_urban","total_po4_mg_l",-0.738
"pct_agri","zn_mg_l",0.736
"area_rural","living_parts_pct",0.736
"no2_mg_l","total_po4_mg_l",0.735
"ni_mg_l","do_mg_l",0.731
"total_area_km2","k_mg_l",0.73
"ni_mg_l","so4_mg_l",0.729
"na_mg_l","total_po4_mg_l",-0.727
"na_mg_l","no3_mg_l",-0.726
"cl_mg_l","no3_mg_l",-0.724
"area_urban","p_h",0.718
"water_level_cm","conductivity_u_s_cm",0.718
"area_indus","tn_mg_l",-0.718
"pct_urban","k_mg_l",0.717
"zn_mg_l","water_level_cm",-0.716
"mg_mg_l","total_po4_mg_l",-0.716
"cd_mg_l","no2_mg_l",0.716
"psam_pct","cu_mg_l",0.71
"hco3_mg_l","zn_mg_l",-0.708
"pct_rural","no3_mg_l",-0.707
"pct_rural","tn_mg_l",-0.705
"cl_mg_l","total_po4_mg_l",-0.704
"ca_mg_l","zn_mg_l",-0.704
