Model,AIC,BIC,logLik,R2_marginal,R2_conditional
Microbial,-357.24668512966116,-350.69634049075563,182.62334256483058,0.005866049121456302,NA
Total,-313.6953773737591,-307.14503273485354,160.84768868687954,2.730830217950524e-4,NA
Macroinvertebrate,-308.40632701461334,-301.8559823757078,158.20316350730667,5.577814516390598e-4,NA
Macro + Abundance,-289.7054499369879,-281.51751913835596,149.85272496849396,0.08586028856061215,NA
Macro + Environment,-253.40348013862115,-241.94037702053646,133.70174006931057,0.0797657221350707,NA
Full Model,-12.662323609419154,-6.910807642881828,15.331161804709577,0.2558772100264221,0.8285208487466734
